line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,quantity,mult,cost_price,cost_basis,close_price,value,unrealized_p_l,code
85,Data,open_positions__01,Summary,Stocks,USD,EQT,40,1,50.025035,2001.0014,53.6,2144,142.9986,
86,Data,open_positions__01,Summary,Stocks,USD,FIG,100,1,34.010022,3401.0022,37.37,3737,335.9978,
87,Data,open_positions__01,Summary,Stocks,USD,IGIC,100,1,23.760048,2376.0048,25.09,2509,132.9952,
88,Data,open_positions__01,Summary,Stocks,USD,KINS,150,1,14.667166167,2200.074925,16.83,2524.5,324.425075,
89,Data,open_positions__01,Summary,Stocks,USD,NVDA,25,1,115.3586358,2883.965895,186.5,4662.5,1778.534105,
90,Data,open_positions__01,Summary,Stocks,USD,RNMBY,3,1,415.333333667,1246.000001,365.5,1096.5,-149.500001,
91,Data,open_positions__01,Summary,Stocks,USD,SFM,14,1,140.881463571,1972.34049,79.67,1115.38,-856.96049,
92,Data,open_positions__01,Summary,Stocks,USD,SLV,100,1,31.7870725,3178.70725,64.42,6442,3263.29275,
93,Data,open_positions__01,Summary,Stocks,USD,TKO,12,1,173.183379333,2078.200552,209,2508,429.799448,
94,Data,open_positions__01,Summary,Stocks,USD,V,3,1,314.513368333,943.540105,350.71,1052.13,108.589895,
95,Total,open_positions__01,,Stocks,USD,,,,,22280.837618,,27791.01,5510.172382,
97,Data,open_positions__01,Summary,Equity and Index Options,USD,NMM 16JAN26 70 C,1,100,2.1004395,210.04395,0.1158,11.58,-198.46395,
98,Data,open_positions__01,Summary,Equity and Index Options,USD,NMM 16JAN26 85 C,1,100,0.8504395,85.04395,0.0347,3.47,-81.57395,
99,Total,open_positions__01,,Equity and Index Options,USD,,,,,295.0879,,15.05,-280.0379,
