line_no,row_kind,currency_summary,currency,total,securities,futures,month_to_date,year_to_date,field_8
148,Data,Starting Cash,Base Currency Summary,-11097.129050525,-17264.377794025,6167.2487435,,,
149,Data,Commissions,Base Currency Summary,-61.99442473,-54.80584473,-7.18858,-2.8571,-11.0477,
150,Data,Internal Transfers,Base Currency Summary,0,-1408.4178765,1408.4178765,0,0,
151,Data,Dividends,Base Currency Summary,168.47,168.47,0,8.61,16.06,
152,Data,Broker Interest Paid and Received,Base Currency Summary,-261.8375582,-261.8375582,0,0,-53.1806939,
153,Data,Cash Settling MTM,Base Currency Summary,-3588.5974,0,-3588.5974,0,0,
154,Data,Trades (Sales),Base Currency Summary,24997.420812479,24997.420812479,0,0,0,
155,Data,Trades (Purchase),Base Currency Summary,-18776.36452,-18776.36452,0,-612.53,-2820.7517,
156,Data,Other Fees,Base Currency Summary,-164,-164,0,-14.5,-43.5,
157,Data,Payment In Lieu of Dividends,Base Currency Summary,13.94,13.94,0,0,0.05,
158,Data,Transaction Fees,Base Currency Summary,-11.0411085,-11.0411085,0,0,-11.0411085,
159,Data,Cash FX Translation Gain/Loss,Base Currency Summary,53.88047006,56.30111006,-2.42064,,,
160,Data,Ending Cash,Base Currency Summary,-8727.252779364,-12704.712779364,3977.46,,,
161,Data,Ending Settled Cash,Base Currency Summary,-8641.842779364,-12619.302779364,3977.46,,,
162,Data,Starting Cash,GBP,70.61,70.61,0,,,
163,Data,Commissions,GBP,-6,-6,0,0,-6,
164,Data,Trades (Purchase),GBP,-1628.66,-1628.66,0,0,-1615.5,
165,Data,Transaction Fees,GBP,-8.0775,-8.0775,0,0,-8.0775,
166,Data,Ending Cash,GBP,-1572.1275,-1572.1275,0,,,
167,Data,Ending Settled Cash,GBP,-1572.1275,-1572.1275,0,,,
168,Data,Starting Cash,HKD,3788.95024031,0.00024031,3788.95,,,
169,Data,Commissions,HKD,-17,0,-17,0,0,
170,Data,Internal Transfers,HKD,0,-21528.05,21528.05,0,0,
171,Data,Broker Interest Paid and Received,HKD,-73.41,-73.41,0,0,-6.09,
172,Data,Cash Settling MTM,HKD,-25300,0,-25300,0,0,
173,Data,Trades (Sales),HKD,20922.016947,20922.016947,0,0,0,
174,Data,Ending Cash,HKD,-679.44281269,-679.44281269,0,,,
175,Data,Ending Settled Cash,HKD,-679.44281269,-679.44281269,0,,,
176,Data,Starting Cash,USD,-11675.336746007,-17355.591746007,5680.255,,,
177,Data,Commissions,USD,-51.61524473,-46.61524473,-5,-2.8571,-2.8571,
178,Data,Internal Transfers,USD,-0,1365.67,-1365.67,0,0,
179,Data,Dividends,USD,168.47,168.47,0,8.61,16.06,
180,Data,Broker Interest Paid and Received,USD,-252.4,-252.4,0,0,-52.4,
181,Data,Cash Settling MTM,USD,-332.125,0,-332.125,0,0,
182,Data,Trades (Sales),USD,22303.935,22303.935,0,0,0,
183,Data,Trades (Purchase),USD,-16551.173,-16551.173,0,-612.53,-612.53,
184,Data,Other Fees,USD,-164,-164,0,-14.5,-43.5,
185,Data,Payment In Lieu of Dividends,USD,13.94,13.94,0,0,0.05,
186,Data,Ending Cash,USD,-6540.304990739,-10517.764990739,3977.46,,,
187,Data,Ending Settled Cash,USD,-6454.894990739,-10432.354990739,3977.46,,,
