line_no,row_kind,source_table,code,meaning,code_cont,meaning_cont
525,Data,codes__01,A,Assignment,,
526,Data,codes__01,ADR,ADR Fee Accrual,,
527,Data,codes__01,AEx,Automatic exercise for dividend-related recommendation.,,
528,Data,codes__01,AFx,AutoFX conversion resulting from trading,,
529,Data,codes__01,Adj,Adjustment,,
530,Data,codes__01,Al,Allocation,,
531,Data,codes__01,Aw,Away Trade,,
532,Data,codes__01,B,Automatic Buy-in,,
533,Data,codes__01,Bo,Direct Borrow,,
534,Data,codes__01,C,Closing Trade,,
535,Data,codes__01,CD,Cash Delivery,,
536,Data,codes__01,CP,Complex Position,,
537,Data,codes__01,Ca,Cancelled,,
538,Data,codes__01,Co,Corrected Trade,,
539,Data,codes__01,Cx,Part or all of this transaction was a Crossing executed as dual agent by IB for two IB customers,,
540,Data,codes__01,DT,Discounted Trade,,
541,Data,codes__01,De,Delivery or Conversion Action,,
542,Data,codes__01,ETF,ETF Creation/Redemption,,
543,Data,codes__01,Ep,Resulted from an Expired Position,,
544,Data,codes__01,Ex,Exercise,,
545,Data,codes__01,FP,The fractional portion of this trade was executed against IB or an affiliate.,,
546,Data,codes__01,FPA,The fractional portion of this trade was executed against IB or an affiliate. IB acted as agent for the whole share portion of this trade.,,
547,Data,codes__01,G,Trade in Guaranteed Account Segment,,
548,Data,codes__01,GEA,Exercise or Assignment resulting from offsetting positions,,
549,Data,codes__01,HC,Highest Cost tax basis election,,
550,Data,codes__01,HFI,Investment Transferred to Hedge Fund,,
551,Data,codes__01,HFR,Redemption from Hedge Fund,,
552,Data,codes__01,I,Internal Transfer,,
553,Data,codes__01,IA,The transaction was executed against IB or an affiliate,,
554,Data,codes__01,IM,A portion of the order was executed against IB or an affiliate; IB acted as agent on a portion.,,
555,Data,codes__01,INV,Investment Transfer from Investor,,
556,Data,codes__01,IPO,This transaction was executed as part of an IPO in which IB was a member of the selling group and is classified as a Principal trade.,,
557,Data,codes__01,L,Ordered by IB (Margin Violation),,
558,Data,codes__01,LD,Adjusted by Loss Disallowed from Wash Sale,,
559,Data,codes__01,LF,Liquidation of fractional position by IB,,
560,Data,codes__01,LI,"Last In, First Out (LIFO) tax basis election",,
561,Data,codes__01,LT,Long Term P/L,,
562,Data,codes__01,Lo,Direct Loan,,
563,Data,codes__01,M,Entered manually by IB,,
564,Data,codes__01,MEx,Manual exercise for dividend-related recommendation.,,
565,Data,codes__01,ML,Maximize Losses tax basis election,,
566,Data,codes__01,MLG,Maximize Long Term Gain tax basis election,,
567,Data,codes__01,MLL,Maximize Long Term Loss tax basis election,,
568,Data,codes__01,MSG,Maximize Short Term Gain tax basis election,,
569,Data,codes__01,MSL,Maximize Short Term Loss tax basis election,,
570,Data,codes__01,O,Opening Trade,,
571,Data,codes__01,Off,Yes and No contracts offset to $1.00 cash settlement,,
572,Data,codes__01,P,Partial Execution,,
573,Data,codes__01,PE,Perpetual Investment,,
574,Data,codes__01,PI,Price Improvement,,
575,Data,codes__01,PTA,Post Trade Allocation,,
576,Data,codes__01,Po,Interest or Dividend Accrual Posting,,
577,Data,codes__01,Pr,Part or all of this transaction was executed by the Exchange as a Crossing by IB against an IB affiliate and is therefore classified as a Principal and not an agency trade,,
578,Data,codes__01,R,Dividend Reinvestment,,
579,Data,codes__01,RED,Redemption to Investor,,
580,Data,codes__01,RI,Recurring Investment,,
581,Data,codes__01,RP,"IB acted as agent for the fractional share portion of this trade, which was executed by an IB affiliate as riskless principal.",,
582,Data,codes__01,RPA,IB acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by an IB Affiliate as riskless principal.,,
583,Data,codes__01,Rb,Rebill,,
584,Data,codes__01,Re,Interest or Dividend Accrual Reversal,,
585,Data,codes__01,Ri,Reimbursement,,
586,Data,codes__01,S0,Contract settled to zero value,,
587,Data,codes__01,S1,Contract settled to $1.00,,
588,Data,codes__01,SF,Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume,,
589,Data,codes__01,SI,This order was solicited by Interactive Brokers,,
590,Data,codes__01,SL,Specific Lot tax basis election,,
591,Data,codes__01,SO,This order was marked as solicited by your Introducing Broker,,
592,Data,codes__01,SS,Customer designated this trade for shortened settlement and so is subject to execution at prices above the prevailing market,,
593,Data,codes__01,ST,Short Term P/L,,
594,Data,codes__01,T,Transfer,,
595,Data,codes__01,Un,Unvested shares from stock grant,,
596,Data,codes__01,XCH,Mutual Fund Exchange Transaction,,
