line_no,row_kind,asset_category,symbol,description,conid,security_id,underlying,listing_exch,multiplier,type,code
487,Data,Stocks,AAPL,APPLE INC,265598,US0378331005,AAPL,NASDAQ,1,COMMON,
488,Data,Stocks,AT.,ASHTEAD TECHNOLOGY HOLDINGS,528621060,GB00BLH42507,AT.,LSE,1,COMMON,
489,Data,Stocks,CBL,CBL & ASSOCIATES PROPERTIES,524096642,US1248308785,CBL,NYSE,1,REIT,
490,Data,Stocks,CUBI,CUSTOMERS BANCORP INC,99757340,US23204G1004,CUBI,NYSE,1,COMMON,
491,Data,Stocks,EL,ESTEE LAUDER COMPANIES-CL A,1448477,US5184391044,EL,NYSE,1,COMMON,
492,Data,Stocks,EQT,EQT CORP,57698865,US26884L1098,EQT,NYSE,1,COMMON,
493,Data,Stocks,FIG,FIGMA INC-CL A,802794976,US3168411052,FIG,NYSE,1,COMMON,
494,Data,Stocks,HAS,HASBRO INC,754956,US4180561072,HAS,NASDAQ,1,COMMON,
495,Data,Stocks,HBI,HANESBRANDS INC.,40369429,US4103451021,HBI,NYSE,1,COMMON,
496,Data,Stocks,HPE,HEWLETT PACKARD ENTERPRISE,209411798,US42824C1099,HPE,NYSE,1,COMMON,
497,Data,Stocks,HPQ,HP INC,209411801,US40434L1052,HPQ,NYSE,1,COMMON,
498,Data,Stocks,IGIC,INTERNATIONAL GENERAL INSURA,411917900,BMG4809J1062,IGIC,NASDAQ,1,COMMON,
499,Data,Stocks,KINS,KINGSTONE COS INC,61481444,US4967191051,KINS,NASDAQ,1,COMMON,
500,Data,Stocks,MAT,MATTEL INC,9365,US5770811025,MAT,NASDAQ,1,COMMON,
501,Data,Stocks,MSCI,MSCI INC,47101335,US55354G1004,MSCI,NYSE,1,COMMON,
502,Data,Stocks,NMM,NAVIOS MARITIME PARTNERS LP,362915197,MHY622674098,NMM,NYSE,1,MLP,
503,Data,Stocks,NVDA,NVIDIA CORP,4815747,US67066G1040,NVDA,NASDAQ,1,COMMON,
504,Data,Stocks,RNMBY,RHEINMETALL AG-UNSP ADR,56347307,US76206K1079,RNMBY,PINK,1,ADR,
505,Data,Stocks,SE,SEA LTD-ADR,292735472,US81141R1005,SE,NYSE,1,ADR,
506,Data,Stocks,SFM,SPROUTS FARMERS MARKET INC,132310192,US85208M1027,SFM,NASDAQ,1,COMMON,
507,Data,Stocks,SLV,ISHARES SILVER TRUST,39039301,US46428Q1094,SLV,ARCA,1,ETF,
508,Data,Stocks,TKO,TKO GROUP HOLDINGS INC,652841542,US87256C1018,TKO,NYSE,1,COMMON,
509,Data,Stocks,V,VISA INC-CLASS A SHARES,49462172,US92826C8394,V,NYSE,1,COMMON,
510,Data,Stocks,WHR,WHIRLPOOL CORP,13751,US9633201069,WHR,NYSE,1,COMMON,
511,Data,Stocks,YETI,YETI HOLDINGS INC,338719595,US98585X1046,YETI,NYSE,1,COMMON,
