line_no,row_kind,datadiscriminator,asset_category,currency,symbol,quantity,mult,cost_price,cost_basis,close_price,value,unrealized_p_l,code
189,Data,Summary,Stocks,GBP,AT.,400,1,4.07394375,1629.5775,4.095,1638,8.4225,
190,Total,,Stocks,GBP,,,,,1629.5775,,1638,8.4225,
191,Total,,Stocks,USD,,,,,2176.62666675,,2187.8766,11.24993325,
192,Data,Summary,Stocks,USD,AAPL,2,1,264.56,529.12,263.75,527.5,-1.62,
193,Data,Summary,Stocks,USD,EQT,40,1,50.025035,2001.0014,61.61,2464.4,463.3986,
194,Data,Summary,Stocks,USD,FIG,103,1,33.856983495,3487.2693,30.74,3166.22,-321.0493,
195,Data,Summary,Stocks,USD,IGIC,100,1,23.760048,2376.0048,25.4,2540,163.9952,
196,Data,Summary,Stocks,USD,KINS,150,1,14.667166167,2200.074925,16.36,2454,253.925075,
197,Data,Summary,Stocks,USD,NVDA,25,1,115.3586358,2883.965895,180.05,4501.25,1617.284105,
198,Data,Summary,Stocks,USD,RNMBY,3,1,415.333333667,1246.000001,368.75,1106.25,-139.750001,
199,Data,Summary,Stocks,USD,SFM,14,1,140.881463571,1972.34049,77.99,1091.86,-880.48049,
200,Data,Summary,Stocks,USD,SLV,100,1,31.7870725,3178.70725,74.68,7468,4289.29275,
201,Data,Summary,Stocks,USD,TKO,12,1,173.183379333,2078.200552,219.94,2639.28,561.079448,
202,Data,Summary,Stocks,USD,V,3,1,314.513368333,943.540105,320.83,962.49,18.949895,
203,Total,,Stocks,USD,,,,,22896.224718,,28921.25,6025.025282,
204,Total,,Stocks,USD,,,,,25072.85138475,,31109.1266,6036.27521525,
